unified_round,native_id,date,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,has_archived_metric,source_file
220,NEXT204,2026-08-08,diagnostic,motif-conjunction residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest 0.435753, retention 2825/3045 (+213 rows, deficit 220); six failures remain; branch closed",diagnostic-only,yes,line 3114 | docs/plans/2026-08-08-next202-next204-motif-conjunction.md | SSD/workspace_data/newpauling/next204_motif_conjunction_broad_residual_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=190 || SSD/workspace_data/newpauling/next204_
221,NEXT205,2026-08-08,search/test,motif-exception pardon-depth search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,946 candidates; 298 pass both-source AUC; all 946 SAFE; 0 BROAD,fail-gate,yes,line 3157 | docs/plans/2026-08-08-next205-next206-exception-depth.md | SSD/workspace_data/newpauling/next205_motif_exception_depth_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=946; 
222,NEXT206,2026-08-08,diagnostic,pardon-depth residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest 0.290507, retention 2900/3045 (deficit 145; folds 28/31/32/34/20); branch closed",diagnostic-only,yes,line 3195 | docs/plans/2026-08-08-next205-next206-exception-depth.md | SSD/workspace_data/newpauling/next206_motif_exception_depth_broad_residual_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=298 || SSD/workspace_data/newpauling/next
223,NEXT207,2026-08-08,diagnostic,residual raw-x0 feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source residual-cohort AUC eligibility (484 hypotheses),"exactly 44 pass; top scbv_mismatch_max__protected_low SCIGEN 0.715165/0.713451/0.673597, WyFormer 0.650550/0.649800/0.604446",diagnostic-only,yes,line 3242 | docs/plans/2026-08-08-next207-next209-residual-x0-certificate.md | SSD/workspace_data/newpauling/next207_residual_x0_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=44 || SSD/workspace_data/newpauling/next20
224,NEXT208,2026-08-08,search/test,raw-x0 hard-exception search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,661 candidates; 6 AUC and 17 SAFE12 but no new exception in the AUC+SAFE intersection (sole survivor = unchanged base); 0 BROAD,no-gain,yes,line 3277 | docs/plans/2026-08-08-next207-next209-residual-x0-certificate.md | SSD/workspace_data/newpauling/next208_residual_x0_exception_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=661; 
225,NEXT209,2026-08-08,diagnostic,raw-x0 exception residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,sole survivor is inactive base; shortfall unchanged 0.2905066371709464; branch closed,diagnostic-only,yes,line 3319 | docs/plans/2026-08-08-next207-next209-residual-x0-certificate.md | SSD/workspace_data/newpauling/next209_residual_x0_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=1 || SSD/workspace_data/newpauling/next209_residu
226,NEXT210,2026-08-08,search/test,continuous residual-risk lift search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,221 candidates; 212 AUC; 91 AUC+SAFE; 0 BROAD,fail-gate,yes,line 3369 | docs/plans/2026-08-08-next210-next211-residual-risk-lift.md | SSD/workspace_data/newpauling/next210_residual_risk_lift_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=221; eli
227,NEXT211,2026-08-08,diagnostic,continuous-lift residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,closest scbv_mismatch_max at 1/16: 0.276636 (from 0.290507); retention 2907/3045; six failures,diagnostic-only,yes,line 3404 | docs/plans/2026-08-08-next210-next211-residual-risk-lift.md | SSD/workspace_data/newpauling/next211_residual_risk_lift_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=91 || SSD/workspace_data/newpauling/next21
228,NEXT212,2026-08-08,search/test,anchored two-signal risk-lift search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,216 candidates; 208 AUC; 92 AUC+SAFE; 0 BROAD,fail-gate,yes,line 3427 | docs/plans/2026-08-08-next212-next213-two-signal-risk-lift.md | SSD/workspace_data/newpauling/next212_two_signal_risk_lift_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=216 ||
229,NEXT213,2026-08-08,diagnostic,two-signal residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,closest +nm_site_max at 1/16: 0.272542; retention 2909/3045; same six failures,diagnostic-only,yes,line 3427 | docs/plans/2026-08-08-next212-next213-two-signal-risk-lift.md | SSD/workspace_data/newpauling/next213_two_signal_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=92 || SSD/workspace_data/newpauling/next213_two_si
230,NEXT214,2026-08-08,search/test,forward-stagewise risk-lift loop,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"417 candidates evaluated; accepted 3rd term at depth 3 (residual 0.268934, retention 2911/3045); stopped at depth 4; 0 BROAD",fail-gate,yes,line 3458 | docs/plans/2026-08-08-next214-forward-stagewise-risk-lift.md | SSD/workspace_data/newpauling/next214_forward_stagewise_risk_lift_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False || SSD/workspace_data/n
231,NEXT215,2026-08-09,diagnostic,repair-band protection audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-band AUC eligibility (484 hypotheses),"23 pass raw gates, 22 after reuse veto; top nm_reciprocal_reduced AUC 0.644512 SCIGEN / 0.652150 WyFormer, min worst-fold 0.6015625",diagnostic-only,yes,line 3525 | docs/plans/2026-08-08-next215-next217-continuous-relief-certificate.md | SSD/workspace_data/newpauling/next215_repair_band_relief_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=22 || SSD/workspace_data/newpauling/next215
232,NEXT216,2026-08-09,search/test,continuous repair-band relief search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,89 candidates; 88 AUC; 89 SAFE; 0 BROAD,fail-gate,yes,line 3565 | docs/plans/2026-08-08-next215-next217-continuous-relief-certificate.md | SSD/workspace_data/newpauling/next216_repair_band_relief_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=89; elig
233,NEXT217,2026-08-09,diagnostic,repair-band residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,best relief reduced NEXT214 residual by exactly 0; closest = unchanged base 0.26893426117441227; branch closed,diagnostic-only,yes,line 3613 | docs/plans/2026-08-08-next215-next217-continuous-relief-certificate.md | SSD/workspace_data/newpauling/next217_repair_band_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=88 || SSD/workspace_data/newpauling/next217_repai
234,NEXT218,2026-08-09,search/test,lower-anchored relief search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,89 candidates; all 89 pass AUC and SAFE12; 0 BROAD,fail-gate,yes,line 3666 | docs/plans/2026-08-08-next218-next219-lower-anchored-relief.md | SSD/workspace_data/newpauling/next218_lower_anchored_relief_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=89; e
235,NEXT219,2026-08-09,diagnostic,lower-anchored residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest new record exactly tied with base (0.26893426117441227, 2911/3045); zero improvement; branch closed",diagnostic-only,yes,line 3688 | docs/plans/2026-08-08-next218-next219-lower-anchored-relief.md | SSD/workspace_data/newpauling/next219_lower_anchored_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=89 || SSD/workspace_data/newpauling/next219_lo
236,NEXT220,2026-08-09,search/test,signed redistribution search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,111 candidates; all pass AUC; 39 SAFE12; 0 BROAD,fail-gate,yes,line 3728 | docs/plans/2026-08-08-next220-next221-signed-redistribution.md | SSD/workspace_data/newpauling/next220_signed_redistribution_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=111; 
237,NEXT221,2026-08-09,diagnostic,signed redistribution residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,first strict improvement: 0.2572028547126239 (-0.011731406461788385); retention 2917/3045,diagnostic-only,yes,line 3756 | docs/plans/2026-08-08-next220-next221-signed-redistribution.md | SSD/workspace_data/newpauling/next221_signed_redistribution_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=39 || SSD/workspace_data/newpauling/nex
238,NEXT222,2026-08-09,search/test,forward-stagewise signed loop,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"207 evaluations; two-term path shortfall 0.1564570050830728, retention 2979/3045; new failure mix incl. WyFormer fold-4 savings; 0 BROAD",fail-gate,yes,line 3789 | docs/plans/2026-08-08-next222-forward-stagewise-signed-redistribution.md | SSD/workspace_data/newpauling/next222_forward_stagewise_signed_redistribution_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False || SSD/work
239,NEXT223,2026-08-09,search/test,dual-evidence consensus search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"7,261 records; eligible new: 6,522 AUC, 5,542 SAFE, 5,147 AUC+SAFE/non-BROAD; 0 BROAD",fail-gate,yes,line 3864 | docs/plans/2026-08-09-next223-next224-dual-evidence-consensus.md | SSD/workspace_data/newpauling/next223_dual_evidence_consensus_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=726
240,NEXT224,2026-08-09,diagnostic,dual-evidence residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,closest 0.1461217358987499 (-6.61% vs NEXT222; -45.7% vs NEXT214); retention 2985/3045; six failures incl. WyFormer fold-4 savings_lower,diagnostic-only,yes,line 3909 | docs/plans/2026-08-09-next223-next224-dual-evidence-consensus.md | SSD/workspace_data/newpauling/next224_dual_evidence_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=5147 || SSD/workspace_data/newpauling/next224_d
241,NEXT225,2026-08-09,search/test,agreement-gated consensus search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"3,796 records; eligible new: 2,384 AUC, 1,999 SAFE, 1,909 AUC+SAFE/non-BROAD; 0 BROAD",fail-gate,yes,line 3976 | docs/plans/2026-08-09-next225-next226-agreement-gated-consensus.md | SSD/workspace_data/newpauling/next225_agreement_gated_consensus_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=3
242,NEXT226,2026-08-09,diagnostic,agreement-gated residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,closest 0.1511051091054888: better than NEXT222 by 0.005351896 but worse than NEXT224 by 0.004983373,diagnostic-only,yes,line 4025 | docs/plans/2026-08-09-next225-next226-agreement-gated-consensus.md | SSD/workspace_data/newpauling/next226_agreement_gated_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=1909 || SSD/workspace_data/newpauling/next226
243,NEXT227,2026-08-09,diagnostic,margin-local feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source rejected-cohort AUC eligibility (484 hypotheses),"26 pass; leader scbv_mismatch_rms SCIGEN 0.690006/0.689202/0.671576, WyFormer 0.639379/0.637633/0.612632",diagnostic-only,yes,line 4092 | docs/plans/2026-08-09-next227-next229-margin-local-redistribution.md | SSD/workspace_data/newpauling/next227_margin_local_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=26 || SSD/workspace_data/newpauling/next2
244,NEXT228,2026-08-09,search/test,margin-local redistribution search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,390 new candidates; all 390 SAFE; 388 AUC; 0 BROAD,fail-gate,yes,line 4120 | docs/plans/2026-08-09-next227-next229-margin-local-redistribution.md | SSD/workspace_data/newpauling/next228_margin_local_redistribution_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count
245,NEXT229,2026-08-09,diagnostic,margin-local residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures (first reduction from six), shortfall 0.16431186635663908; retention 2967/3045",diagnostic-only,yes,line 4147 | docs/plans/2026-08-09-next227-next229-margin-local-redistribution.md | SSD/workspace_data/newpauling/next229_margin_local_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=388 || SSD/workspace_data/newpauling/next229_mar
246,NEXT230,2026-08-09,diagnostic,second-stage margin-local feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source rejected-cohort AUC eligibility,"30/484 pass; leader scbv_mismatch_rms SCIGEN 0.667277/0.667193/0.633612, WyFormer 0.671870/0.671403/0.642473",diagnostic-only,yes,line 4221 | docs/plans/2026-08-09-next230-next232-stagewise-margin-local-redistribution.md | SSD/workspace_data/newpauling/next230_stagewise_margin_local_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=30 || SSD/workspace_data/newpau
247,NEXT231,2026-08-09,search/test,second-stage margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,630 new candidates; all SAFE; 450 AUC; 0 BROAD,fail-gate,yes,line 4243 | docs/plans/2026-08-09-next230-next232-stagewise-margin-local-redistribution.md | SSD/workspace_data/newpauling/next231_stagewise_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=631;
248,NEXT232,2026-08-09,diagnostic,second-stage residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest nm_charge_concentration record: five failures, shortfall 0.12730274611313003 (-22.5% vs NEXT229)",diagnostic-only,yes,line 4263 | docs/plans/2026-08-09-next230-next232-stagewise-margin-local-redistribution.md | SSD/workspace_data/newpauling/next232_stagewise_margin_local_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=450 || SSD/workspace_data/newpauling/n
249,NEXT233,2026-08-09,diagnostic,final-stage margin-local feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source rejected-cohort AUC eligibility,"27 hypotheses pass; leader scbv_mismatch_rms 0.670901/0.637755 SCIGEN, 0.674563/0.639410 WyFormer",diagnostic-only,yes,line 4308 | docs/plans/2026-08-09-next233-next235-final-stagewise-margin-local-redistribution.md | SSD/workspace_data/newpauling/next233_final_stagewise_margin_local_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=27 || SSD/workspace_data/
250,NEXT234,2026-08-09,search/test,final stagewise margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,567 new candidates; 491 AUC; 530 SAFE; 484 AUC+SAFE/non-BROAD; 0 BROAD,fail-gate,yes,line 4330 | docs/plans/2026-08-09-next233-next235-final-stagewise-margin-local-redistribution.md | SSD/workspace_data/newpauling/next234_final_stagewise_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_coun
251,NEXT235,2026-08-09,diagnostic,final-stage residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest motif_weight_sum_min record: five failures, shortfall 0.12339543654931197 (-3.1%); stagewise family formally closed",diagnostic-only,yes,line 4350 | docs/plans/2026-08-09-next233-next235-final-stagewise-margin-local-redistribution.md | SSD/workspace_data/newpauling/next235_final_stagewise_margin_local_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=484 || SSD/workspace_data/newpau
