unified_round,segment,native_id,date,artifact_mtime_span,session_first_mention_utc,problem,problem_detail,problem_evidence,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,source_file
183,next,NEXT167,2026-08-08,2026-08-08T17:21 .. 2026-08-08T17:34,2026-08-08T22:21:21,plausibility,,mined from round report/controls,search/test,contact-topology threshold-local audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility of 14 hypotheses,0/14 eligible; top lower CrystalNN rank-0 fraction shell 0.507595/0.503752 (near random); branch terminated,abandoned-family,line 2085 | docs/plans/2026-08-08-next167-periodic-contact-topology-audit.md | SSD/workspace_data/newpauling/next167_periodic_contact_topology_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
184,next,NEXT168,2026-08-08,2026-08-08T17:43 .. 2026-08-08T17:52,2026-08-08T22:21:54,plausibility,,mined from round report/controls,search/test,local directional rigidity features (Gram tensor),SCIGEN+WyFormer discovery,label-free feature build,"support 13,220 & 12,749 SCIGEN, 5,138 & 5,026 WyFormer; features non-degenerate",probe-pass,line 2130 | docs/plans/2026-08-08-next168-next170-periodic-local-directional-rigidity.md | artifact mtime: docs/plans/2026-08-08-next168-next170-periodic-local-directional-rigidity.md
185,next,NEXT169,2026-08-08,2026-08-08T17:54 .. 2026-08-08T17:58,2026-08-08T22:41:55,plausibility,,mined from round report/controls,search/test,directional-rigidity audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility gates,"5/10 eligible (all CrystalNN); min tightness shell 0.620496/0.593120 SCIGEN, WyFormer 0.611461; full 0.791050/0.672382",probe-pass,line 2178 | docs/plans/2026-08-08-next168-next170-periodic-local-directional-rigidity.md | SSD/workspace_data/newpauling/next169_periodic_local_directional_rigidity_audit_v1/MANIFEST.json :: eligible_hypothesis_count=5
186,next,NEXT170,2026-08-08,2026-08-08T18:00 .. 2026-08-08T18:06,2026-08-08T22:41:55,plausibility,,mined from round report/controls,search/test,bounded rigidity attenuation search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,41 candidates; 41 AUC; 4 SAFE12; 0 BROAD,fail-gate,line 2214 | docs/plans/2026-08-08-next168-next170-periodic-local-directional-rigidity.md | SSD/workspace_data/newpauling/next170_local_directional_rigidity_attenuation_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; cand
187,next,NEXT171,2026-08-08,2026-08-08T18:13 .. 2026-08-08T18:23,2026-08-08T23:11:13,plausibility,,mined from round report/controls,search/test,repair-interval rigidity attenuation search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,41 candidates; 39 AUC; 41 SAFE12; 0 BROAD; operator family terminated,fail-gate,line 2273 | docs/plans/2026-08-08-next171-repair-interval-local-rigidity-search.md | SSD/workspace_data/newpauling/next171_repair_interval_local_rigidity_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_co
188,next,NEXT172,2026-08-08,2026-08-08T18:27 .. 2026-08-08T18:30,2026-08-08T23:26:46,plausibility,,mined from round report/controls,diagnostic,interval-localization residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,base best 0.860418594; every rigidity correction worse (0.870641913-0.875999650); same six failures,diagnostic-only,line 2338 | docs/plans/2026-08-08-next172-repair-interval-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next172_repair_interval_broad_residual_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=39 || SSD/workspace_data/newpauling/
189,next,NEXT173,2026-08-08,2026-08-08T18:33 .. 2026-08-08T18:41,2026-08-08T23:33:38,plausibility,,mined from round report/controls,search/test,weighted local directional rigidity features,SCIGEN+WyFormer discovery,label-free feature build,"support identical to NEXT168 (13,220/12,749 and 5,138/5,026)",probe-pass,line 2400 | docs/plans/2026-08-08-next173-next174-weighted-local-directional-rigidity.md | artifact mtime: docs/plans/2026-08-08-next173-next174-weighted-local-directional-rigidity.md
190,next,NEXT174,2026-08-08,2026-08-08T18:42 .. 2026-08-08T18:48,2026-08-08T23:33:58,plausibility,,mined from round report/controls,search/test,weighted rigidity audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility gates,"5/10 eligible; weighted min tightness 0.624395/0.602054 SCIGEN, WyFormer 0.620006; full 0.795250/0.680616",probe-pass,line 2418 | docs/plans/2026-08-08-next173-next174-weighted-local-directional-rigidity.md | SSD/workspace_data/newpauling/next174_weighted_local_directional_rigidity_audit_v1/MANIFEST.json :: eligible_hypothesis_count=5
191,next,NEXT175,2026-08-08,2026-08-08T18:49 .. 2026-08-08T18:53,2026-08-08T23:49:34,plausibility,,mined from round report/controls,search/test,weighted-rigidity repair-width search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,41 candidates; 40 AUC; 41 SAFE12; 0 BROAD,fail-gate,line 2443 | docs/plans/2026-08-08-next175-weighted-rigidity-repair-width-search.md | SSD/workspace_data/newpauling/next175_weighted_rigidity_repair_width_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_co
192,next,NEXT176,2026-08-08,2026-08-08T18:56 .. 2026-08-08T19:01,2026-08-08T23:55:29,plausibility,,mined from round report/controls,diagnostic,weighted-rigidity residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,q10 tightness alpha=1 shortfall 0.860419 -> 0.847144; all six failures retained,diagnostic-only,line 2461 | docs/plans/2026-08-08-next176-weighted-rigidity-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next176_weighted_rigidity_broad_residual_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=40 || SSD/workspace_data/newpaulin
193,next,NEXT177,2026-08-08,2026-08-08T19:02 .. 2026-08-08T19:06,2026-08-09T00:02:39,plausibility,,mined from round report/controls,search/test,amplitude-boundary extension search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,alpha 1-4 one-time extension; no BROAD; AUC retained through alpha=1.5,fail-gate,line 2476 | docs/plans/2026-08-08-next177-weighted-rigidity-amplitude-extension-search.md | SSD/workspace_data/newpauling/next177_weighted_rigidity_amplitude_extension_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candi
194,next,NEXT178,2026-08-08,2026-08-08T19:07 .. 2026-08-08T19:10,2026-08-09T00:07:28,plausibility,,mined from round report/controls,diagnostic,amplitude-extension residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,best admissible 0.834952 at alpha=1.5; protected 2625/3045; pure amplitude extension closed,diagnostic-only,line 2483 | docs/plans/2026-08-08-next178-amplitude-extension-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next178_amplitude_extension_broad_residual_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=8 || SSD/workspace_data/newpauli
195,next,NEXT179,2026-08-08,2026-08-08T19:12 .. 2026-08-08T19:20,2026-08-09T00:12:54,plausibility,,mined from round report/controls,search/test,strong-neighborhood directional closure features,SCIGEN+WyFormer discovery,label-free feature build,support matched NEXT173 exactly,probe-pass,line 2500 | docs/plans/2026-08-08-next179-next180-strong-neighborhood-directional-closure.md | artifact mtime: docs/plans/2026-08-08-next179-next180-strong-neighborhood-directional-closure.md
196,next,NEXT180,2026-08-08,2026-08-08T19:12 .. 2026-08-08T19:23,2026-08-09T00:12:54,plausibility,,mined from round report/controls,search/test,strong-closure audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility gates,"6/10 eligible; CrystalNN min closure 0.622388/0.604697 SCIGEN, WyFormer 0.618061; full 0.795517/0.682956",probe-pass,line 2519 | docs/plans/2026-08-08-next179-next180-strong-neighborhood-directional-closure.md | SSD/workspace_data/newpauling/next180_strong_neighborhood_directional_closure_audit_v1/MANIFEST.json :: eligible_hypothesis_count=6
197,next,NEXT181,2026-08-08,2026-08-08T19:24 .. 2026-08-08T19:27,2026-08-09T00:24:06,plausibility,,mined from round report/controls,search/test,repair-width closure search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,49 candidates; 47 AUC; 49 SAFE12; 0 BROAD,fail-gate,line 2545 | docs/plans/2026-08-08-next181-strong-closure-repair-width-search.md | SSD/workspace_data/newpauling/next181_strong_closure_repair_width_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count
198,next,NEXT182,2026-08-08,2026-08-08T19:29 .. 2026-08-08T19:32,2026-08-09T00:29:16,plausibility,,mined from round report/controls,search/test,family-targeted closure search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,25 candidates; 24 AUC; 25 SAFE12; 0 BROAD,fail-gate,line 2554 | docs/plans/2026-08-08-next182-local-family-closure-attenuation-search.md | SSD/workspace_data/newpauling/next182_local_family_closure_attenuation_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_
199,next,NEXT183,2026-08-08,2026-08-08T19:40 .. 2026-08-08T19:48,2026-08-09T00:38:07,plausibility,,mined from round report/controls,search/test,nonlocal-cleanliness conditional certificate audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility of 36 hypotheses,"20/36 eligible; selected closure_min*clean_mean shell 0.621148/0.603091 SCIGEN, WyFormer 0.615796; full 0.806105/0.695713",probe-pass,line 2599 | docs/plans/2026-08-08-next183-next184-conditional-nonlocal-cleanliness-closure.md | SSD/workspace_data/newpauling/next183_conditional_nonlocal_closure_audit_v1/MANIFEST.json :: eligible_hypothesis_count=20
200,next,NEXT184,2026-08-08,2026-08-08T19:50 .. 2026-08-08T19:53,2026-08-09T00:38:41,plausibility,,mined from round report/controls,search/test,conditional-certificate formula search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,121 candidates; 93 AUC; 121 SAFE; 0 BROAD,fail-gate,line 2642 | docs/plans/2026-08-08-next183-next184-conditional-nonlocal-cleanliness-closure.md | SSD/workspace_data/newpauling/next184_conditional_nonlocal_closure_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_coun
201,next,NEXT185,2026-08-08,2026-08-08T19:55 .. 2026-08-08T19:59,2026-08-09T00:55:19,plausibility,,mined from round report/controls,diagnostic,conditional-certificate residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest 0.836140 vs base 0.860419; rescued only 13 aggregate rows, deficit 420; same six failures",diagnostic-only,line 2673 | docs/plans/2026-08-08-next185-conditional-closure-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next185_conditional_closure_broad_residual_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=93 || SSD/workspace_data/newpaul
202,next,NEXT186,2026-08-08,2026-08-08T20:05 .. 2026-08-08T20:09,2026-08-09T01:02:58,plausibility,,mined from round report/controls,search/test,local/nonlocal contradiction relief audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility of 24 relief hypotheses,0/24 eligible; best SCIGEN worst-fold protection AUC 0.509465; no search authorized,no-gain,line 2715 | docs/plans/2026-08-08-next186-next187-local-nonlocal-contradiction-relief.md | SSD/workspace_data/newpauling/next186_local_nonlocal_contradiction_relief_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
203,next,NEXT187,2026-08-08 (range-plan date),NA,2026-08-09T01:04:42,plausibility,,classified from round topic (no per-round class in the reports),search/test,local-nonlocal-contradiction-relief,NA,absent - never mentioned in report,NA,unmarked,NA | docs/plans/2026-08-08-next186-next187-local-nonlocal-contradiction-relief.md
204,next,NEXT188,2026-08-08,2026-08-08T20:11 .. 2026-08-08T20:17,2026-08-09T01:10:48,plausibility,,mined from round report/controls,search/test,contradiction severity audit (opposite direction),SCIGEN+WyFormer discovery labels (offline),identity-controlled cross-source eligibility,AUC exactly 1-AUC_NEXT186; full-pop 0.680648/0.687930 but SCIGEN shell worst fold 0.482066; 0/24 eligible,no-gain,line 2715 | docs/plans/2026-08-08-next188-next189-contradiction-severity-penalty.md | SSD/workspace_data/newpauling/next188_contradiction_severity_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
205,next,NEXT189,2026-08-08 (range-plan date),NA,2026-08-09T01:10:48,plausibility,,classified from round topic (no per-round class in the reports),search/test,contradiction-severity-penalty,NA,absent - never mentioned in report,NA,unmarked,NA | docs/plans/2026-08-08-next188-next189-contradiction-severity-penalty.md
206,next,NEXT190,2026-08-08,2026-08-08T20:22 .. 2026-08-08T20:26,2026-08-09T01:19:58,plausibility,,mined from round report/controls,search/test,latent-symmetry recoverability audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 6 symmetry-recovery variables,"SCIGEN shell 0.630493/0.573942, full 0.804734; WyFormer ~chance 0.499660/0.497815 (~90% zeros); 0 eligible",no-gain,line 2746 | docs/plans/2026-08-08-next190-next191-latent-symmetry-recoverability.md | SSD/workspace_data/newpauling/next190_latent_symmetry_recoverability_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
207,next,NEXT191,2026-08-08 (block),NA,2026-08-09T01:19:58,plausibility,,classified from round topic (no per-round class in the reports),search/test,latent-symmetry recoverability (follow-on),NA,"reserved follow-on; not run (""NEXT191 was not run"")",NA,not-run (blocked upstream),line 2758 | docs/plans/2026-08-08-next190-next191-latent-symmetry-recoverability.md
208,next,NEXT192,2026-08-08,2026-08-08T20:28 .. 2026-08-08T20:32,2026-08-09T01:27:48,plausibility,,mined from round report/controls,search/test,signed safe-margin audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 10 signed-margin hypotheses,0/10 pass all gates; safe_local_geometry failed only SCIGEN worst fold (0.520498); full 0.832189/0.752703,no-gain,line 2767 | docs/plans/2026-08-08-next192-next193-signed-safe-margin-certificate.md | SSD/workspace_data/newpauling/next192_signed_safe_margin_audit_v1/MANIFEST.json :: eligible_hypothesis_count=0
209,next,NEXT193,2026-08-08 (range-plan date),NA,2026-08-09T01:27:48,plausibility,,classified from round topic (no per-round class in the reports),search/test,signed-safe-margin-certificate,NA,absent - never mentioned in report,NA,unmarked,NA | docs/plans/2026-08-08-next192-next193-signed-safe-margin-certificate.md
210,next,NEXT194,2026-08-08,2026-08-08T20:33 .. 2026-08-08T20:38,2026-08-09T01:33:26,plausibility,,mined from round report/controls,search/test,signed-local safety x strong closure audit,SCIGEN+WyFormer discovery labels (offline),cross-source repair-shell eligibility of 12 conjunctions,"6/12 eligible; product closure_min*safety 0.612914/0.588336 SCIGEN, WyFormer 0.634046; full 0.823498/0.731146",probe-pass,line 2801 | docs/plans/2026-08-08-next194-next195-signed-local-closure-certificate.md | SSD/workspace_data/newpauling/next194_signed_local_closure_audit_v1/MANIFEST.json :: eligible_hypothesis_count=6
211,next,NEXT195,2026-08-08,2026-08-08T20:40 .. 2026-08-08T20:43,2026-08-09T01:33:26,plausibility,,mined from round report/controls,search/test,signed-local closure formula search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,37 candidates; all 37 pass AUC+SAFE12; 0 BROAD,fail-gate,line 2833 | docs/plans/2026-08-08-next194-next195-signed-local-closure-certificate.md | SSD/workspace_data/newpauling/next195_signed_local_closure_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=37; el
212,next,NEXT196,2026-08-08,2026-08-08T20:44 .. 2026-08-08T20:54,2026-08-09T01:44:13,plausibility,,mined from round report/controls,diagnostic,signed-local closure residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,"closest 0.816780, retention 2636/3045 (deficit 409); same six failures",diagnostic-only,line 2860 | docs/plans/2026-08-08-next196-signed-local-closure-broad-residual.md | SSD/workspace_data/newpauling/next196_signed_local_closure_broad_residual_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=37 || SSD/workspace_data/newpauling/next19
213,next,NEXT197,2026-08-08,2026-08-08T21:07 .. 2026-08-08T21:13,2026-08-09T02:06:20,plausibility,,mined from round report/controls,search/test,discrete protected-exception search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,55 candidates; 54 AUC; 55 SAFE; 0 BROAD,fail-gate,line 2905 | docs/plans/2026-08-08-next197-next198-discrete-protected-exception.md | SSD/workspace_data/newpauling/next197_discrete_protected_exception_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_coun
